dt_pst,nitric_oxide total,sulfur_dioxide total,_created_at,_updated_at
2015-02-22 09:40:00-08,1.1671673,0.24426267,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 10:10:00-08,1.362846,0.42707801,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 10:55:00-08,0.94910133,0.60474998,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 11:35:00-08,1.3022313,0.26396933,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 12:10:00-08,1.2436054,0.1,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 12:50:00-08,0.96350735,-0.086994,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 13:20:00-08,1.23158,-0.057171334,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 13:55:00-08,0.64161867,-0.141932,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 14:50:00-08,0.70994401,-0.083062664,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 15:20:00-08,1.0147767,0.0049733333,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 15:55:00-08,0.93605465,0.105324,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 16:40:00-08,0.91971666,0.037664667,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 17:20:00-08,0.81657797,-0.052308667,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 18:00:00-08,0.62500465,0.065899998,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 18:35:00-08,0.36741599,0.48902866,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 19:05:00-08,0,0,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 19:45:00-08,0,0,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 20:25:00-08,0,0,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 21:05:00-08,0,0,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 21:40:00-08,0,0,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 22:20:00-08,0,0,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 23:05:00-08,0.0023000001,-0.0094126668,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 23:50:00-08,0.35271999,0.050010666,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-23 00:35:00-08,0.22374333,0.568946,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-23 01:20:00-08,0.27076668,1.0601226,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-23 02:05:00-08,0.28675866,0.71137065,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-23 02:45:00-08,0.36080065,0.99972665,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-23 03:25:00-08,0.24570334,1.3501433,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-23 04:05:00-08,0.21823266,1.6104707,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-23 04:45:00-08,0.62513798,1.6507434,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-23 05:30:00-08,0.77035868,1.4278507,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-23 06:05:00-08,5.5055079,1.6296999,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-23 06:55:00-08,9.231205,1.8511833,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-23 07:35:00-08,6.1594548,1.3622741,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-23 08:15:00-08,4.7477798,1.3131846,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-23 08:55:00-08,2.8770046,1.5530087,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-23 09:35:00-08,3.0094547,1.3822407,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-23 10:15:00-08,2.0993767,1.3820354,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 04:05:00-08,0.087655336,-0.46014667,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 04:40:00-08,0.031206667,-0.12386467,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 05:20:00-08,0.0047133332,-0.49102199,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 05:50:00-08,0.14339867,-0.12497734,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 06:30:00-08,0.46750134,0.37006065,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 07:10:00-08,0.652758,0.38718867,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 07:45:00-08,0.98706067,0.44870466,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 08:30:00-08,1.0955013,0.37522066,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 09:10:00-08,1.6222154,0.48167399,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 09:50:00-08,1.206524,0.26801199,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
